City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,riverton,40.5219,-111.9391,1.74,86,0,4.92,US,1675646258
133,saint-philippe,-21.3585,55.7679,24.77,85,100,4.65,RE,1675646161
134,flinders,-34.5833,150.8552,28.99,66,0,2.68,AU,1675646254
135,dawei,14.0833,98.2,24.03,84,8,0.99,MM,1675646137
136,kandrian,-6.2167,149.55,29.96,66,100,2.63,PG,1675646260
137,half moon bay,37.4636,-122.4286,11.04,85,0,7.72,US,1675646131
138,salalah,17.0151,54.0924,20.75,64,100,1.29,OM,1675645951
139,burnie,-41.0667,145.9167,20.58,53,31,4.95,AU,1675646260
140,nanuque,-17.8392,-40.3539,24.98,75,0,4.94,BR,1675646261
141,lebu,-37.6167,-73.65,16.11,90,1,8.1,CL,1675646022
142,udachnyy,66.4167,112.4,-33.64,66,100,0.8,RU,1675646262
143,kalia,23.0396,89.6328,15.47,49,0,0.22,BD,1675646262
144,constitucion,-35.3333,-72.4167,14.38,95,14,2.14,CL,1675646106
145,arraial do cabo,-22.9661,-42.0278,24.28,91,94,3.45,BR,1675646152
146,goderich,43.7501,-81.7165,2.18,80,100,3.09,CA,1675646263
147,catamarca,-28.4696,-65.7852,21.99,61,0,4.89,AR,1675646264
148,santa lucia,27.9117,-15.5407,11.62,63,20,4.12,ES,1675646264
149,isangel,-19.55,169.2667,30.18,67,100,1.26,VU,1675646001
150,fukue,32.6881,128.8419,10.2,66,0,4.63,JP,1675646265
151,avarua,-21.2078,-159.775,25.03,88,75,6.17,CK,1675646023
152,auchi,7.0667,6.2667,24.77,81,100,2.83,NG,1675646266
153,bengkulu,-3.8004,102.2655,24.57,81,95,2.0,ID,1675646136
154,hasaki,35.7333,140.8333,10.16,70,3,3.04,JP,1675645978
155,ormara,25.2088,64.6357,21.05,70,0,4.53,PK,1675646267
156,tucuman,-26.8241,-65.2226,23.21,65,48,1.69,AR,1675646089
157,oloron-sainte-marie,43.1944,-0.6107,5.41,92,73,1.85,FR,1675646268
158,jamestown,42.097,-79.2353,4.84,70,100,5.14,US,1675646060
159,chicama,-7.8447,-79.1469,21.3,72,15,2.27,PE,1675646149
160,wanning,18.8003,110.3967,23.42,83,100,1.07,CN,1675645980
161,bethel,41.3712,-73.414,4.93,68,0,0.0,US,1675645939
162,vrutky,49.1133,18.9171,-12.53,100,93,2.08,SK,1675646269
163,adrar,20.5022,-10.0711,14.24,29,100,4.47,MR,1675646031
164,zyryanka,65.75,150.85,-32.52,98,100,0.65,RU,1675646077
165,cocorna,6.0573,-75.1852,21.31,95,17,1.3,CO,1675646271
166,bara,10.3744,10.7288,24.04,21,96,3.92,NG,1675646271
167,thompson,55.7435,-97.8558,-14.64,96,100,2.73,CA,1675645948
168,joensuu,62.6012,29.7632,-5.73,100,100,0.51,FI,1675646272
169,samarai,-10.6167,150.6667,27.88,79,99,5.25,PG,1675646036
170,ayan,56.45,138.1667,-21.21,74,67,2.96,RU,1675646272
171,fairbanks,64.8378,-147.7164,-13.84,81,0,2.57,US,1675646102
172,faanui,-16.4833,-151.75,27.73,73,8,6.61,PF,1675646065
173,channel-port aux basques,47.5702,-59.1367,0.79,98,100,9.81,CA,1675646130
